Name,State,Expected Price,Actual Price,Price Residual
Sun Valley: Bald Mountain,Idaho,212.44745261406433,209.0,-3.447452614064332
Thunder Ridge,New York,82.54876740512427,79.0,-3.5487674051242664
Teton Pass,Montana,62.76845982178864,59.0,-3.768459821788639
Cooper Spur,Oregon,52.83479707957834,49.0,-3.834797079578337
Detroit Mountain,Minnesota,55.88407952799579,52.0,-3.8840795279957874
Buck Hill,Minnesota,63.179788721322225,59.0,-4.179788721322225
Dodge Ridge,California,113.2207292840424,109.0,-4.220729284042406
Andes Tower Hills,Minnesota,64.23730023999101,60.0,-4.237300239991015
Hilltop,Alaska,43.294778754677814,39.0,-4.2947787546778144
Big Bear at Masthope Mountain,Pennsylvania,82.37856970501113,78.0,-4.378569705011131
Mount Pleasant,Pennsylvania,44.44644850250859,40.0,-4.446448502508588
Buena Vista,Minnesota,56.44709261175766,52.0,-4.447092611757661
Snowmass,Colorado,268.52084978247916,264.0,-4.520849782479161
Mt. Zion,Michigan,49.52223577939236,45.0,-4.522235779392361
Sleeping Giant,Wyoming,74.53470586382248,70.0,-4.534705863822481
Belleayre Mountain,New York,118.5511256829038,114.0,-4.551125682903802
Mount Ski Gull,Minnesota,49.56057321020292,45.0,-4.560573210202918
Lutsen Mountains,Minnesota,109.70875067615984,105.0,-4.708750676159838
Cannon Mountain,New Hampshire,138.77152361594221,134.0,-4.771523615942215
Black Mountain – Rumford,Maine,64.97882939563843,60.0,-4.978829395638428
Pleasant Mountain,Maine,100.14151644788404,95.0,-5.141516447884044
Sitzmark Ski Mountain,Washington,55.150364592400415,50.0,-5.150364592400415
Granite Gorge,New Hampshire,60.62129931596634,55.0,-5.62129931596634
Frost Fire Park,North Dakota,55.65204661662717,50.0,-5.6520466166271675
Taos,New Mexico,200.92994821112927,195.0,-5.929948211129272
Badger Pass,California,74.97808355669557,69.0,-5.978083556695566
Blacktail Mountain,Montana,85.99420112719986,80.0,-5.994201127199858
Wild Mountain,Minnesota,65.03793799213257,59.0,-6.037937992132569
Snow Trails,Ohio,71.20582372535979,65.0,-6.205823725359792
Four Lakes,Illinois,36.24994966768442,30.0,-6.249949667684419
Snow Snake,Michigan,49.404877391432834,43.0,-6.404877391432834
Mount Southington,Connecticut,74.51818074689528,68.0,-6.518180746895283
Crested Butte,Colorado,185.58042844242192,179.0,-6.580428442421919
Pomerelle,Idaho,74.79548128313013,68.0,-6.79548128313013
Bruce Mound,Wisconsin,33.8561302275136,27.0,-6.856130227513603
Maple Ski Ridge,New York,49.87665019101573,43.0,-6.876650191015727
Mad River Mountain,Ohio,66.03128355887416,59.0,-7.031283558874165
Welch Village,Minnesota,89.08951976224816,82.0,-7.089519762248159
Chestnut Mountain,Illinois,77.12928954109424,70.0,-7.129289541094238
Burke Mountain,Vermont,96.12929322669595,89.0,-7.12929322669595
Whaleback,New Hampshire,57.66718188961188,50.0,-7.667181889611882
Oak Mountain,New York,63.70478671471777,56.0,-7.70478671471777
Spring Mountain,Pennsylvania,65.86309771858785,58.0,-7.863097718587852
Mt. Eyak,Alaska,38.23395067802349,30.0,-8.23395067802349
Alpine Valley (Michigan),Michigan,69.28239914678409,61.0,-8.282399146784087
Woods Valley,New York,73.49932882410818,65.0,-8.499328824108176
Mt. Crescent,Iowa,52.87046606640341,44.0,-8.87046606640341
Powder Ridge Mountain Park (Connecticut),Connecticut,68.47078145254986,59.0,-9.470781452549858
Mt. Hood Skibowl,Oregon,98.48405190241817,89.0,-9.484051902418173
Gunstock,New Hampshire,118.69657949818236,109.0,-9.69657949818236
Snowstar,Illinois,63.94804629845113,54.0,-9.948046298451132
Mt. Shasta Ski Park,California,108.95271470083588,99.0,-9.952714700835884
Royal Mountain,New York,69.99430873333962,60.0,-9.994308733339622
